Source.Name	Characteristics.individual.	Characteristics.organism.part.	Characteristics.developmental.stage.	Characteristics.treatment.
E4.5.518	E4.5.518	E4.5	embryo	embryonic day 4	No
E4.5.519	E4.5.519	E4.5	embryo	embryonic day 4	No
E4.5.520	E4.5.520	E4.5	embryo	embryonic day 4	No
E4.5.521	E4.5.521	E4.5	embryo	embryonic day 4	No
E4.5.522	E4.5.522	E4.5	embryo	embryonic day 4	No
E4.5.523	E4.5.523	E4.5	embryo	embryonic day 4	No
E4.5.524	E4.5.524	E4.5	embryo	embryonic day 4	No
E4.5.525	E4.5.525	E4.5	embryo	embryonic day 4	No
E4.5.526	E4.5.526	E4.5	embryo	embryonic day 4	No
E4.6.609	E4.6.609	E4.6	embryo	embryonic day 4	No
E4.6.610	E4.6.610	E4.6	embryo	embryonic day 4	No
E4.6.613	E4.6.613	E4.6	embryo	embryonic day 4	No
E4.6.614	E4.6.614	E4.6	embryo	embryonic day 4	No
E4.6.616	E4.6.616	E4.6	embryo	embryonic day 4	No
E4.6.625	E4.6.625	E4.6	embryo	embryonic day 4	No
E4.6.627	E4.6.627	E4.6	embryo	embryonic day 4	No
E4.7.641	E4.7.641	E4.7	embryo	embryonic day 4	No
E4.7.642	E4.7.642	E4.7	embryo	embryonic day 4	No
E4.7.643	E4.7.643	E4.7	embryo	embryonic day 4	No
E4.7.644	E4.7.644	E4.7	embryo	embryonic day 4	No
E4.7.645	E4.7.645	E4.7	embryo	embryonic day 4	No
E4.7.646	E4.7.646	E4.7	embryo	embryonic day 4	No
E4.7.647	E4.7.647	E4.7	embryo	embryonic day 4	No
E4.7.648	E4.7.648	E4.7	embryo	embryonic day 4	No
E4.8.1171	E4.8.1171	E4.8	embryo	embryonic day 4	No
E4.8.1172	E4.8.1172	E4.8	embryo	embryonic day 4	No
E4.8.1173	E4.8.1173	E4.8	embryo	embryonic day 4	No
E4.8.1175	E4.8.1175	E4.8	embryo	embryonic day 4	No
E4.8.1177	E4.8.1177	E4.8	embryo	embryonic day 4	No
E4.8.1178	E4.8.1178	E4.8	embryo	embryonic day 4	No
E4.8.1179	E4.8.1179	E4.8	embryo	embryonic day 4	No
E4.8.1180	E4.8.1180	E4.8	embryo	embryonic day 4	No
E4.8.1181	E4.8.1181	E4.8	embryo	embryonic day 4	No
E4.8.1182	E4.8.1182	E4.8	embryo	embryonic day 4	No
E4.8.1183	E4.8.1183	E4.8	embryo	embryonic day 4	No
E4.8.1184	E4.8.1184	E4.8	embryo	embryonic day 4	No
E4.8.1185	E4.8.1185	E4.8	embryo	embryonic day 4	No
E4.8.1187	E4.8.1187	E4.8	embryo	embryonic day 4	No
E4.8.1188	E4.8.1188	E4.8	embryo	embryonic day 4	No
E4.8.1189	E4.8.1189	E4.8	embryo	embryonic day 4	No
E4.8.1190	E4.8.1190	E4.8	embryo	embryonic day 4	No
E4.8.1191	E4.8.1191	E4.8	embryo	embryonic day 4	No
E4.8.1192	E4.8.1192	E4.8	embryo	embryonic day 4	No
E4.8.1193	E4.8.1193	E4.8	embryo	embryonic day 4	No
E4.8.1194	E4.8.1194	E4.8	embryo	embryonic day 4	No
E4.9.1195	E4.9.1195	E4.9	embryo	embryonic day 4	No
E4.9.1197	E4.9.1197	E4.9	embryo	embryonic day 4	No
E4.9.1200	E4.9.1200	E4.9	embryo	embryonic day 4	No
E4.9.1202	E4.9.1202	E4.9	embryo	embryonic day 4	No
E4.9.1203	E4.9.1203	E4.9	embryo	embryonic day 4	No
E4.9.1204	E4.9.1204	E4.9	embryo	embryonic day 4	No
E4.9.1205	E4.9.1205	E4.9	embryo	embryonic day 4	No
E4.9.1206	E4.9.1206	E4.9	embryo	embryonic day 4	No
E4.9.1207	E4.9.1207	E4.9	embryo	embryonic day 4	No
E4.9.1208	E4.9.1208	E4.9	embryo	embryonic day 4	No
E4.9.1209	E4.9.1209	E4.9	embryo	embryonic day 4	No
E4.9.1210	E4.9.1210	E4.9	embryo	embryonic day 4	No
E4.9.1211	E4.9.1211	E4.9	embryo	embryonic day 4	No
E4.9.1212	E4.9.1212	E4.9	embryo	embryonic day 4	No
E4.9.1213	E4.9.1213	E4.9	embryo	embryonic day 4	No
E4.9.1214	E4.9.1214	E4.9	embryo	embryonic day 4	No
E4.9.1215	E4.9.1215	E4.9	embryo	embryonic day 4	No
E4.9.1217	E4.9.1217	E4.9	embryo	embryonic day 4	No
E4.9.1218	E4.9.1218	E4.9	embryo	embryonic day 4	No
E4.late.33.3157	E4.late.33.3157	E4.late.33	embryo	embryonic day 4	No
E4.late.33.3158	E4.late.33.3158	E4.late.33	embryo	embryonic day 4	No
E4.late.33.3159	E4.late.33.3159	E4.late.33	embryo	embryonic day 4	No
E4.late.33.3160	E4.late.33.3160	E4.late.33	embryo	embryonic day 4	No
E4.late.33.3161	E4.late.33.3161	E4.late.33	embryo	embryonic day 4	No
E4.late.33.3162	E4.late.33.3162	E4.late.33	embryo	embryonic day 4	No
E4.late.33.3163	E4.late.33.3163	E4.late.33	embryo	embryonic day 4	No
E4.late.33.3164	E4.late.33.3164	E4.late.33	embryo	embryonic day 4	No
E4.late.33.3165	E4.late.33.3165	E4.late.33	embryo	embryonic day 4	No
E4.late.33.3166	E4.late.33.3166	E4.late.33	embryo	embryonic day 4	No
E4.late.33.3167	E4.late.33.3167	E4.late.33	embryo	embryonic day 4	No
E4.late.34.3169	E4.late.34.3169	E4.late.34	embryo	embryonic day 4	No
E4.late.34.3170	E4.late.34.3170	E4.late.34	embryo	embryonic day 4	No
E4.late.34.3171	E4.late.34.3171	E4.late.34	embryo	embryonic day 4	No
E4.late.34.3172	E4.late.34.3172	E4.late.34	embryo	embryonic day 4	No
E4.late.34.3173	E4.late.34.3173	E4.late.34	embryo	embryonic day 4	No
E4.late.34.3174	E4.late.34.3174	E4.late.34	embryo	embryonic day 4	No
E4.late.34.3175	E4.late.34.3175	E4.late.34	embryo	embryonic day 4	No
E4.late.34.3176	E4.late.34.3176	E4.late.34	embryo	embryonic day 4	No
E4.late.34.3178	E4.late.34.3178	E4.late.34	embryo	embryonic day 4	No
E4.late.34.3179	E4.late.34.3179	E4.late.34	embryo	embryonic day 4	No
E4.late.34.3180	E4.late.34.3180	E4.late.34	embryo	embryonic day 4	No
E4.late.34.3181	E4.late.34.3181	E4.late.34	embryo	embryonic day 4	No
E4.late.34.3182	E4.late.34.3182	E4.late.34	embryo	embryonic day 4	No
E4.late.34.3183	E4.late.34.3183	E4.late.34	embryo	embryonic day 4	No
E4.late.34.3184	E4.late.34.3184	E4.late.34	embryo	embryonic day 4	No
E4.late.34.3185	E4.late.34.3185	E4.late.34	embryo	embryonic day 4	No
E4.late.34.3186	E4.late.34.3186	E4.late.34	embryo	embryonic day 4	No
E4.late.34.3188	E4.late.34.3188	E4.late.34	embryo	embryonic day 4	No
E4.late.34.3189	E4.late.34.3189	E4.late.34	embryo	embryonic day 4	No
E4.late.34.3190	E4.late.34.3190	E4.late.34	embryo	embryonic day 4	No
E4.late.34.3191	E4.late.34.3191	E4.late.34	embryo	embryonic day 4	No
E4.late.34.3192	E4.late.34.3192	E4.late.34	embryo	embryonic day 4	No
E4.late.35.3193	E4.late.35.3193	E4.late.35	embryo	embryonic day 4	No
E4.late.35.3195	E4.late.35.3195	E4.late.35	embryo	embryonic day 4	No
E4.late.35.3196	E4.late.35.3196	E4.late.35	embryo	embryonic day 4	No
E4.late.35.3197	E4.late.35.3197	E4.late.35	embryo	embryonic day 4	No
E4.late.35.3199	E4.late.35.3199	E4.late.35	embryo	embryonic day 4	No
E4.late.35.3200	E4.late.35.3200	E4.late.35	embryo	embryonic day 4	No
E4.late.35.3201	E4.late.35.3201	E4.late.35	embryo	embryonic day 4	No
E4.late.35.3202	E4.late.35.3202	E4.late.35	embryo	embryonic day 4	No
E4.late.35.3203	E4.late.35.3203	E4.late.35	embryo	embryonic day 4	No
E4.late.35.3204	E4.late.35.3204	E4.late.35	embryo	embryonic day 4	No
E4.late.35.3205	E4.late.35.3205	E4.late.35	embryo	embryonic day 4	No
E4.late.35.3207	E4.late.35.3207	E4.late.35	embryo	embryonic day 4	No
E4.late.35.3208	E4.late.35.3208	E4.late.35	embryo	embryonic day 4	No
E4.late.35.3209	E4.late.35.3209	E4.late.35	embryo	embryonic day 4	No
E4.late.35.3212	E4.late.35.3212	E4.late.35	embryo	embryonic day 4	No
E5.1.26	E5.1.26	E5.1	embryo	embryonic day 5	No
E5.1.28	E5.1.28	E5.1	embryo	embryonic day 5	No
E5.1.30	E5.1.30	E5.1	embryo	embryonic day 5	No
E5.1.31	E5.1.31	E5.1	embryo	embryonic day 5	No
E5.1.32	E5.1.32	E5.1	embryo	embryonic day 5	No
E5.10.932	E5.10.932	E5.10	embryo	embryonic day 5	Immunosurgery
E5.10.933	E5.10.933	E5.10	embryo	embryonic day 5	Immunosurgery
E5.10.934	E5.10.934	E5.10	embryo	embryonic day 5	Immunosurgery
E5.10.935	E5.10.935	E5.10	embryo	embryonic day 5	Immunosurgery
E5.10.936	E5.10.936	E5.10	embryo	embryonic day 5	Immunosurgery
E5.10.937	E5.10.937	E5.10	embryo	embryonic day 5	Immunosurgery
E5.10.938	E5.10.938	E5.10	embryo	embryonic day 5	Immunosurgery
E5.10.939	E5.10.939	E5.10	embryo	embryonic day 5	Immunosurgery
E5.10.940	E5.10.940	E5.10	embryo	embryonic day 5	Immunosurgery
E5.10.941	E5.10.941	E5.10	embryo	embryonic day 5	Immunosurgery
E5.10.942	E5.10.942	E5.10	embryo	embryonic day 5	Immunosurgery
E5.10.943	E5.10.943	E5.10	embryo	embryonic day 5	Immunosurgery
E5.10.944	E5.10.944	E5.10	embryo	embryonic day 5	Immunosurgery
E5.10.945	E5.10.945	E5.10	embryo	embryonic day 5	Immunosurgery
E5.10.947	E5.10.947	E5.10	embryo	embryonic day 5	Immunosurgery
E5.10.948	E5.10.948	E5.10	embryo	embryonic day 5	Immunosurgery
E5.10.949	E5.10.949	E5.10	embryo	embryonic day 5	Immunosurgery
E5.10.950	E5.10.950	E5.10	embryo	embryonic day 5	Immunosurgery
E5.11.951	E5.11.951	E5.11	embryo	embryonic day 5	Immunosurgery
E5.11.952	E5.11.952	E5.11	embryo	embryonic day 5	Immunosurgery
E5.11.953	E5.11.953	E5.11	embryo	embryonic day 5	Immunosurgery
E5.11.955	E5.11.955	E5.11	embryo	embryonic day 5	Immunosurgery
E5.11.956	E5.11.956	E5.11	embryo	embryonic day 5	Immunosurgery
E5.11.957	E5.11.957	E5.11	embryo	embryonic day 5	Immunosurgery
E5.11.959	E5.11.959	E5.11	embryo	embryonic day 5	Immunosurgery
E5.11.960	E5.11.960	E5.11	embryo	embryonic day 5	Immunosurgery
E5.11.961	E5.11.961	E5.11	embryo	embryonic day 5	Immunosurgery
E5.11.962	E5.11.962	E5.11	embryo	embryonic day 5	Immunosurgery
E5.11.963	E5.11.963	E5.11	embryo	embryonic day 5	Immunosurgery
E5.11.964	E5.11.964	E5.11	embryo	embryonic day 5	Immunosurgery
E5.11.965	E5.11.965	E5.11	embryo	embryonic day 5	Immunosurgery
E5.11.966	E5.11.966	E5.11	embryo	embryonic day 5	Immunosurgery
E5.12.1027	E5.12.1027	E5.12	embryo	embryonic day 5	Immunosurgery
E5.12.1028	E5.12.1028	E5.12	embryo	embryonic day 5	Immunosurgery
E5.12.1029	E5.12.1029	E5.12	embryo	embryonic day 5	Immunosurgery
E5.12.1031	E5.12.1031	E5.12	embryo	embryonic day 5	Immunosurgery
E5.12.1033	E5.12.1033	E5.12	embryo	embryonic day 5	Immunosurgery
E5.12.1034	E5.12.1034	E5.12	embryo	embryonic day 5	Immunosurgery
E5.12.1035	E5.12.1035	E5.12	embryo	embryonic day 5	Immunosurgery
E5.12.1036	E5.12.1036	E5.12	embryo	embryonic day 5	Immunosurgery
E5.12.1037	E5.12.1037	E5.12	embryo	embryonic day 5	Immunosurgery
E5.12.1038	E5.12.1038	E5.12	embryo	embryonic day 5	Immunosurgery
E5.12.1039	E5.12.1039	E5.12	embryo	embryonic day 5	Immunosurgery
E5.12.1041	E5.12.1041	E5.12	embryo	embryonic day 5	Immunosurgery
E5.12.1042	E5.12.1042	E5.12	embryo	embryonic day 5	Immunosurgery
E5.13.1750	E5.13.1750	E5.13	embryo	embryonic day 5	No
E5.13.1751	E5.13.1751	E5.13	embryo	embryonic day 5	No
E5.13.1752	E5.13.1752	E5.13	embryo	embryonic day 5	No
E5.13.1753	E5.13.1753	E5.13	embryo	embryonic day 5	No
E5.13.1754	E5.13.1754	E5.13	embryo	embryonic day 5	No
E5.13.1755	E5.13.1755	E5.13	embryo	embryonic day 5	No
E5.13.1756	E5.13.1756	E5.13	embryo	embryonic day 5	No
E5.13.1757	E5.13.1757	E5.13	embryo	embryonic day 5	No
E5.13.1758	E5.13.1758	E5.13	embryo	embryonic day 5	No
E5.13.1759	E5.13.1759	E5.13	embryo	embryonic day 5	No
E5.13.1760	E5.13.1760	E5.13	embryo	embryonic day 5	No
E5.13.1761	E5.13.1761	E5.13	embryo	embryonic day 5	No
E5.13.1762	E5.13.1762	E5.13	embryo	embryonic day 5	No
E5.13.1763	E5.13.1763	E5.13	embryo	embryonic day 5	No
E5.13.1764	E5.13.1764	E5.13	embryo	embryonic day 5	No
E5.13.1765	E5.13.1765	E5.13	embryo	embryonic day 5	No
E5.13.1766	E5.13.1766	E5.13	embryo	embryonic day 5	No
E5.13.1767	E5.13.1767	E5.13	embryo	embryonic day 5	No
E5.13.1768	E5.13.1768	E5.13	embryo	embryonic day 5	No
E5.13.1769	E5.13.1769	E5.13	embryo	embryonic day 5	No
E5.13.1770	E5.13.1770	E5.13	embryo	embryonic day 5	No
E5.13.1771	E5.13.1771	E5.13	embryo	embryonic day 5	No
E5.13.1773	E5.13.1773	E5.13	embryo	embryonic day 5	No
E5.13.1774	E5.13.1774	E5.13	embryo	embryonic day 5	No
E5.13.1775	E5.13.1775	E5.13	embryo	embryonic day 5	No
E5.13.1776	E5.13.1776	E5.13	embryo	embryonic day 5	No
E5.13.1777	E5.13.1777	E5.13	embryo	embryonic day 5	No
E5.13.1778	E5.13.1778	E5.13	embryo	embryonic day 5	No
E5.13.1779	E5.13.1779	E5.13	embryo	embryonic day 5	No
E5.13.1780	E5.13.1780	E5.13	embryo	embryonic day 5	No
E5.13.1781	E5.13.1781	E5.13	embryo	embryonic day 5	No
E5.14.1782	E5.14.1782	E5.14	embryo	embryonic day 5	No
E5.14.1783	E5.14.1783	E5.14	embryo	embryonic day 5	No
E5.14.1784	E5.14.1784	E5.14	embryo	embryonic day 5	No
E5.14.1785	E5.14.1785	E5.14	embryo	embryonic day 5	No
E5.14.1786	E5.14.1786	E5.14	embryo	embryonic day 5	No
E5.14.1787	E5.14.1787	E5.14	embryo	embryonic day 5	No
E5.14.1788	E5.14.1788	E5.14	embryo	embryonic day 5	No
E5.14.1789	E5.14.1789	E5.14	embryo	embryonic day 5	No
E5.14.1790	E5.14.1790	E5.14	embryo	embryonic day 5	No
E5.14.1791	E5.14.1791	E5.14	embryo	embryonic day 5	No
E5.14.1792	E5.14.1792	E5.14	embryo	embryonic day 5	No
E5.14.1793	E5.14.1793	E5.14	embryo	embryonic day 5	No
E5.14.1794	E5.14.1794	E5.14	embryo	embryonic day 5	No
E5.14.1795	E5.14.1795	E5.14	embryo	embryonic day 5	No
E5.14.1797	E5.14.1797	E5.14	embryo	embryonic day 5	No
E5.14.1798	E5.14.1798	E5.14	embryo	embryonic day 5	No
E5.14.1802	E5.14.1802	E5.14	embryo	embryonic day 5	No
E5.14.1806	E5.14.1806	E5.14	embryo	embryonic day 5	No
E5.14.1807	E5.14.1807	E5.14	embryo	embryonic day 5	No
E5.14.1808	E5.14.1808	E5.14	embryo	embryonic day 5	No
E5.14.1811	E5.14.1811	E5.14	embryo	embryonic day 5	No
E5.14.1812	E5.14.1812	E5.14	embryo	embryonic day 5	No
E5.14.1813	E5.14.1813	E5.14	embryo	embryonic day 5	No
E5.14.1916	E5.14.1916	E5.14	embryo	embryonic day 5	No
E5.14.1917	E5.14.1917	E5.14	embryo	embryonic day 5	No
E5.14.1918	E5.14.1918	E5.14	embryo	embryonic day 5	No
E5.14.1919	E5.14.1919	E5.14	embryo	embryonic day 5	No
E5.14.1923	E5.14.1923	E5.14	embryo	embryonic day 5	No
E5.14.1924	E5.14.1924	E5.14	embryo	embryonic day 5	No
E5.14.1925	E5.14.1925	E5.14	embryo	embryonic day 5	No
E5.15.1820	E5.15.1820	E5.15	embryo	embryonic day 5	No
E5.15.1821	E5.15.1821	E5.15	embryo	embryonic day 5	No
E5.15.1822	E5.15.1822	E5.15	embryo	embryonic day 5	No
E5.15.1823	E5.15.1823	E5.15	embryo	embryonic day 5	No
E5.15.1824	E5.15.1824	E5.15	embryo	embryonic day 5	No
E5.15.1825	E5.15.1825	E5.15	embryo	embryonic day 5	No
E5.15.1826	E5.15.1826	E5.15	embryo	embryonic day 5	No
E5.15.1827	E5.15.1827	E5.15	embryo	embryonic day 5	No
E5.15.1828	E5.15.1828	E5.15	embryo	embryonic day 5	No
E5.15.1829	E5.15.1829	E5.15	embryo	embryonic day 5	No
E5.15.1830	E5.15.1830	E5.15	embryo	embryonic day 5	No
E5.15.1831	E5.15.1831	E5.15	embryo	embryonic day 5	No
E5.15.1834	E5.15.1834	E5.15	embryo	embryonic day 5	No
E5.15.1835	E5.15.1835	E5.15	embryo	embryonic day 5	No
E5.15.1836	E5.15.1836	E5.15	embryo	embryonic day 5	No
E5.15.1837	E5.15.1837	E5.15	embryo	embryonic day 5	No
E5.15.1838	E5.15.1838	E5.15	embryo	embryonic day 5	No
E5.15.1839	E5.15.1839	E5.15	embryo	embryonic day 5	No
E5.15.1840	E5.15.1840	E5.15	embryo	embryonic day 5	No
E5.15.1841	E5.15.1841	E5.15	embryo	embryonic day 5	No
E5.15.1842	E5.15.1842	E5.15	embryo	embryonic day 5	No
E5.15.1843	E5.15.1843	E5.15	embryo	embryonic day 5	No
E5.15.1844	E5.15.1844	E5.15	embryo	embryonic day 5	No
E5.15.1845	E5.15.1845	E5.15	embryo	embryonic day 5	No
E5.16.1885	E5.16.1885	E5.16	embryo	embryonic day 5	No
E5.16.1886	E5.16.1886	E5.16	embryo	embryonic day 5	No
E5.16.1887	E5.16.1887	E5.16	embryo	embryonic day 5	No
E5.16.1888	E5.16.1888	E5.16	embryo	embryonic day 5	No
E5.16.1889	E5.16.1889	E5.16	embryo	embryonic day 5	No
E5.16.1890	E5.16.1890	E5.16	embryo	embryonic day 5	No
E5.16.1891	E5.16.1891	E5.16	embryo	embryonic day 5	No
E5.16.1893	E5.16.1893	E5.16	embryo	embryonic day 5	No
E5.16.1894	E5.16.1894	E5.16	embryo	embryonic day 5	No
E5.16.1895	E5.16.1895	E5.16	embryo	embryonic day 5	No
E5.16.1896	E5.16.1896	E5.16	embryo	embryonic day 5	No
E5.16.1897	E5.16.1897	E5.16	embryo	embryonic day 5	No
E5.16.1898	E5.16.1898	E5.16	embryo	embryonic day 5	No
E5.16.1899	E5.16.1899	E5.16	embryo	embryonic day 5	No
E5.16.1900	E5.16.1900	E5.16	embryo	embryonic day 5	No
E5.16.1901	E5.16.1901	E5.16	embryo	embryonic day 5	No
E5.16.1903	E5.16.1903	E5.16	embryo	embryonic day 5	No
E5.16.1904	E5.16.1904	E5.16	embryo	embryonic day 5	No
E5.16.1905	E5.16.1905	E5.16	embryo	embryonic day 5	No
E5.16.1906	E5.16.1906	E5.16	embryo	embryonic day 5	No
E5.16.1907	E5.16.1907	E5.16	embryo	embryonic day 5	No
E5.16.1908	E5.16.1908	E5.16	embryo	embryonic day 5	No
E5.16.1909	E5.16.1909	E5.16	embryo	embryonic day 5	No
E5.16.1910	E5.16.1910	E5.16	embryo	embryonic day 5	No
E5.16.1911	E5.16.1911	E5.16	embryo	embryonic day 5	No
E5.16.1912	E5.16.1912	E5.16	embryo	embryonic day 5	No
E5.16.1913	E5.16.1913	E5.16	embryo	embryonic day 5	No
E5.16.1914	E5.16.1914	E5.16	embryo	embryonic day 5	No
E5.16.1915	E5.16.1915	E5.16	embryo	embryonic day 5	No
E5.2.38	E5.2.38	E5.2	embryo	embryonic day 5	No
E5.2.40	E5.2.40	E5.2	embryo	embryonic day 5	No
E5.2.41	E5.2.41	E5.2	embryo	embryonic day 5	No
E5.2.42	E5.2.42	E5.2	embryo	embryonic day 5	No
E5.2.43	E5.2.43	E5.2	embryo	embryonic day 5	No
