Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR3952341,28.07.16 00:00,26.07.16 11:07,4187758,1150064231,4187758,274,483,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR3952341,SRX1977195,H7hESC_single-cell: In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP073808,PRJNA319573,,319573,SRS1411195,SAMN04900908,simple,9606,Homo sapiens,In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,,,,,female,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA419843,,public,8336CE3C3470CE3C58FF030915AC7E5D,A8F111E67ABBC76836952294A9FA27C9
SRR3952342,28.07.16 00:00,26.07.16 11:07,4122078,1152732965,4122078,279,490,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR3952342,SRX1977195,H7hESC_single-cell: In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP073808,PRJNA319573,,319573,SRS1411195,SAMN04900908,simple,9606,Homo sapiens,In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,,,,,female,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA419843,,public,D384E239E94D9AAD5FF5E99EC9852DAB,C0ABBD6B12F7D2F778298E4A7A98F594
SRR3952343,28.07.16 00:00,26.07.16 11:07,3617103,1010807774,3617103,279,430,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR3952343,SRX1977195,H7hESC_single-cell: In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP073808,PRJNA319573,,319573,SRS1411195,SAMN04900908,simple,9606,Homo sapiens,In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,,,,,female,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA419843,,public,9E5608544763D51DFEE571975FCC56A6,B604340DE094E5945F50EB9F6C28B4BB
SRR3952344,28.07.16 00:00,26.07.16 11:09,4482603,1237403812,4482603,276,523,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR3952344,SRX1977195,H7hESC_single-cell: In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP073808,PRJNA319573,,319573,SRS1411195,SAMN04900908,simple,9606,Homo sapiens,In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,,,,,female,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA419843,,public,059E1BACF7B0779F15D556D4AD83D075,457CEB2FEFDA078E8B3B972B9B38F29A
SRR3952345,28.07.16 00:00,26.07.16 11:09,4756390,1304817765,4756390,274,553,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR3952345,SRX1977195,H7hESC_single-cell: In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP073808,PRJNA319573,,319573,SRS1411195,SAMN04900908,simple,9606,Homo sapiens,In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,,,,,female,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA419843,,public,FA091FF085E0C52ADDE7B261DC4F7FB0,BCE414BCE49D6C2618065E5AC6C14DEC
SRR3952346,28.07.16 00:00,26.07.16 11:08,17366,4940335,17366,284,2,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR3952346,SRX1977195,H7hESC_single-cell: In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP073808,PRJNA319573,,319573,SRS1411195,SAMN04900908,simple,9606,Homo sapiens,In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,,,,,female,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA419843,,public,5CCB350CFEB19762239C5B691E142BF2,00DD7B788B1AEC4D23054AAA7CD2B398
SRR3952347,28.07.16 00:00,26.07.16 11:11,3014125,823312739,3014125,273,343,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR3952347,SRX1977195,H7hESC_single-cell: In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP073808,PRJNA319573,,319573,SRS1411195,SAMN04900908,simple,9606,Homo sapiens,In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,,,,,female,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA419843,,public,99837B845141EF2C97F6825B8845A9B2,32DA51FA02E8A8BC5F136569A5B65365
SRR3952348,28.07.16 00:00,26.07.16 11:10,4006047,1136094046,4006047,283,484,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR3952348,SRX1977195,H7hESC_single-cell: In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP073808,PRJNA319573,,319573,SRS1411195,SAMN04900908,simple,9606,Homo sapiens,In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,,,,,female,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA419843,,public,46F6D82C0C1D282DE7B62DF312DFFA8F,1E2B6501828DE437D26CAC12ED8C9259
SRR3952349,28.07.16 00:00,26.07.16 11:14,4664141,1275581929,4664141,273,540,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR3952349,SRX1977195,H7hESC_single-cell: In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP073808,PRJNA319573,,319573,SRS1411195,SAMN04900908,simple,9606,Homo sapiens,In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,,,,,female,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA419843,,public,1630C3E376D66E393154D75DCA48105D,9C8B49259BC21EE33108DF3E6C044510
SRR3952350,28.07.16 00:00,26.07.16 11:10,3729014,1036138916,3729014,277,439,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR3952350,SRX1977195,H7hESC_single-cell: In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP073808,PRJNA319573,,319573,SRS1411195,SAMN04900908,simple,9606,Homo sapiens,In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,,,,,female,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA419843,,public,63195DD7D2110079CC2CE0CB843E5500,9B8085CB5C86A0BE0A8CFE22C884C716
SRR3952351,28.07.16 00:00,26.07.16 11:10,3488170,968098855,3488170,277,409,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR3952351,SRX1977195,H7hESC_single-cell: In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP073808,PRJNA319573,,319573,SRS1411195,SAMN04900908,simple,9606,Homo sapiens,In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,,,,,female,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA419843,,public,98B2B1902172F673B312C23F6A89F284,7B071EF779D6F986F447F6027F9E947A
SRR3952352,28.07.16 00:00,26.07.16 11:11,4689158,1299844804,4689158,277,548,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR3952352,SRX1977195,H7hESC_single-cell: In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP073808,PRJNA319573,,319573,SRS1411195,SAMN04900908,simple,9606,Homo sapiens,In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,,,,,female,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA419843,,public,86284BF00D1B6756CE1407CE3906C92D,BFD4AF86DF762BB702437CF5261E27B0
SRR3952353,28.07.16 00:00,26.07.16 11:09,20754,5881471,20754,283,2,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR3952353,SRX1977195,H7hESC_single-cell: In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP073808,PRJNA319573,,319573,SRS1411195,SAMN04900908,simple,9606,Homo sapiens,In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,,,,,female,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA419843,,public,32031701E1C7B3469D5105B0F83FF814,3DAC855120AAA691E99288A813E9745E
SRR3952354,28.07.16 00:00,26.07.16 11:14,4118593,1140126326,4118593,276,480,,https://sra-download.ncbi.nlm.nih.gov/srapub/SRR3952354,SRX1977195,H7hESC_single-cell: In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP073808,PRJNA319573,,319573,SRS1411195,SAMN04900908,simple,9606,Homo sapiens,In vitro cultured H7 human embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors,,,,,female,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA419843,,public,CA3F4ED6E743163A4D9936FEAA348DC1,DF13FFFA034346D42CC457CCBE46C27E
