Experiment	center	population
ERX163044	ERX163044	Institute of Clinical Molecular Biology, University of Kiel, Germany	TSI
ERX163106	ERX163106	University of Geneva	GBR
ERX163077	ERX163077	University of Geneva	CEU
ERX163101	ERX163101	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	FIN
ERX163029	ERX163029	Max Planck Institute for Molecular Genetics	CEU
ERX162802	ERX162802	Centre for Genomic Regulation, Barcelona	YRI
ERX163042	ERX163042	University of Geneva	TSI
ERX162718	ERX162718	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	GBR
ERX162921	ERX162921	Uppsala University	GBR
ERX162859	ERX162859	University of Geneva	YRI
ERX162883	ERX162883	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	FIN
ERX163151	ERX163151	Uppsala University	CEU
ERX163057	ERX163057	University of Geneva	FIN
ERX162874	ERX162874	Max Planck Institute for Molecular Genetics	YRI
ERX162931	ERX162931	Max Planck Institute for Molecular Genetics	TSI
ERX162906	ERX162906	Institute of Clinical Molecular Biology, University of Kiel, Germany	TSI
ERX163116	ERX163116	University of Geneva	FIN
ERX162937	ERX162937	University of Geneva	TSI
ERX162778	ERX162778	University of Geneva	TSI
ERX162781	ERX162781	Institute of Clinical Molecular Biology, University of Kiel, Germany	FIN
ERX162993	ERX162993	Centre for Genomic Regulation, Barcelona	FIN
ERX162962	ERX162962	Uppsala University	FIN
ERX162911	ERX162911	University of Geneva	TSI
ERX163096	ERX163096	Centre for Genomic Regulation, Barcelona	FIN
ERX163007	ERX163007	Uppsala University	GBR
ERX162878	ERX162878	Max Planck Institute for Molecular Genetics	FIN
ERX163103	ERX163103	Centre for Genomic Regulation, Barcelona	CEU
ERX162805	ERX162805	Centre for Genomic Regulation, Barcelona	YRI
ERX162743	ERX162743	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	GBR
ERX162948	ERX162948	University of Geneva	TSI
ERX162775	ERX162775	Institute of Clinical Molecular Biology, University of Kiel, Germany	TSI
ERX163034	ERX163034	University of Geneva	FIN
ERX162957	ERX162957	Max Planck Institute for Molecular Genetics	YRI
ERX163005	ERX163005	Leiden University Medical Center	CEU
ERX162988	ERX162988	University of Geneva	CEU
ERX162758	ERX162758	Uppsala University	GBR
ERX162731	ERX162731	Institute of Clinical Molecular Biology, University of Kiel, Germany	GBR
ERX162923	ERX162923	Max Planck Institute for Molecular Genetics	CEU
ERX162996	ERX162996	Institute of Clinical Molecular Biology, University of Kiel, Germany	TSI
ERX163140	ERX163140	Centre for Genomic Regulation, Barcelona	YRI
ERX163003	ERX163003	Centre for Genomic Regulation, Barcelona	CEU
ERX162950	ERX162950	Leiden University Medical Center	TSI
ERX163118	ERX163118	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	GBR
ERX162854	ERX162854	University of Geneva	GBR
ERX163119	ERX163119	University of Geneva	FIN
ERX163111	ERX163111	University of Geneva	FIN
ERX162893	ERX162893	University of Geneva	YRI
ERX162861	ERX162861	Leiden University Medical Center	CEU
ERX163063	ERX163063	Centre for Genomic Regulation, Barcelona	FIN
ERX163132	ERX163132	Institute of Clinical Molecular Biology, University of Kiel, Germany	TSI
ERX162742	ERX162742	Uppsala University	YRI
ERX163093	ERX163093	Max Planck Institute for Molecular Genetics	TSI
ERX162814	ERX162814	Leiden University Medical Center	YRI
ERX162971	ERX162971	Centre for Genomic Regulation, Barcelona	TSI
ERX163143	ERX163143	Institute of Clinical Molecular Biology, University of Kiel, Germany	YRI
ERX162845	ERX162845	Leiden University Medical Center	GBR
ERX162927	ERX162927	University of Geneva	FIN
ERX162843	ERX162843	Centre for Genomic Regulation, Barcelona	TSI
ERX162841	ERX162841	Institute of Clinical Molecular Biology, University of Kiel, Germany	FIN
ERX162897	ERX162897	Centre for Genomic Regulation, Barcelona	CEU
ERX162951	ERX162951	University of Geneva	FIN
ERX163045	ERX163045	Uppsala University	FIN
ERX163109	ERX163109	Centre for Genomic Regulation, Barcelona	TSI
ERX162903	ERX162903	Uppsala University	FIN
ERX162998	ERX162998	Leiden University Medical Center	GBR
ERX162816	ERX162816	Max Planck Institute for Molecular Genetics	FIN
ERX162930	ERX162930	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	CEU
ERX162967	ERX162967	Uppsala University	TSI
ERX162800	ERX162800	Uppsala University	GBR
ERX163126	ERX163126	Centre for Genomic Regulation, Barcelona	CEU
ERX162732	ERX162732	University of Geneva	TSI
ERX162799	ERX162799	Leiden University Medical Center	CEU
ERX163137	ERX163137	Institute of Clinical Molecular Biology, University of Kiel, Germany	FIN
ERX162749	ERX162749	Centre for Genomic Regulation, Barcelona	FIN
ERX162792	ERX162792	Max Planck Institute for Molecular Genetics	YRI
ERX163172	ERX163172	Max Planck Institute for Molecular Genetics	FIN
ERX163066	ERX163066	University of Geneva	FIN
ERX162872	ERX162872	Leiden University Medical Center	CEU
ERX163013	ERX163013	University of Geneva	CEU
ERX162831	ERX162831	University of Geneva	CEU
ERX163170	ERX163170	Centre for Genomic Regulation, Barcelona	TSI
ERX162908	ERX162908	Institute of Clinical Molecular Biology, University of Kiel, Germany	YRI
ERX162983	ERX162983	Centre for Genomic Regulation, Barcelona	FIN
ERX162754	ERX162754	Centre for Genomic Regulation, Barcelona	FIN
ERX162803	ERX162803	University of Geneva	CEU
ERX163043	ERX163043	University of Geneva	TSI
ERX163015	ERX163015	University of Geneva	YRI
ERX162920	ERX162920	Institute of Clinical Molecular Biology, University of Kiel, Germany	CEU
ERX162759	ERX162759	University of Geneva	FIN
ERX162713	ERX162713	Centre for Genomic Regulation, Barcelona	GBR
ERX163022	ERX163022	University of Geneva	TSI
ERX163144	ERX163144	Max Planck Institute for Molecular Genetics	YRI
ERX162945	ERX162945	University of Geneva	YRI
ERX162866	ERX162866	Institute of Clinical Molecular Biology, University of Kiel, Germany	TSI
ERX162828	ERX162828	Uppsala University	GBR
ERX163004	ERX163004	University of Geneva	FIN
ERX179507	ERX179507	University of Geneva	YRI
ERX179582	ERX179582	University of Geneva	CEU
ERX179667	ERX179667	University of Geneva	CEU
ERX179687	ERX179687	University of Geneva	YRI
ERX179684	ERX179684	University of Geneva	YRI
ERX179641	ERX179641	Uppsala University	TSI
ERX179661	ERX179661	University of Geneva	TSI
ERX179668	ERX179668	University of Geneva	YRI
ERX179543	ERX179543	Institute of Clinical Molecular Biology, University of Kiel, Germany	YRI
ERX179704	ERX179704	University of Geneva	CEU
ERX179685	ERX179685	University of Geneva	YRI
ERX179586	ERX179586	University of Geneva	YRI
ERX179681	ERX179681	University of Geneva	CEU
ERX179536	ERX179536	University of Geneva	YRI
ERX179612	ERX179612	University of Geneva	YRI
ERX179593	ERX179593	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	TSI
ERX179635	ERX179635	University of Geneva	CEU
ERX179519	ERX179519	University of Geneva	YRI
ERX179664	ERX179664	University of Geneva	CEU
ERX179515	ERX179515	University of Geneva	FIN
ERX179600	ERX179600	University of Geneva	TSI
ERX179609	ERX179609	Leiden University Medical Center	TSI
ERX179518	ERX179518	University of Geneva	YRI
ERX179522	ERX179522	University of Geneva	GBR
ERX179571	ERX179571	University of Geneva	CEU
ERX179676	ERX179676	University of Geneva	YRI
ERX179702	ERX179702	University of Geneva	CEU
ERX179634	ERX179634	Max Planck Institute for Molecular Genetics	TSI
ERX179618	ERX179618	University of Geneva	TSI
ERX179591	ERX179591	University of Geneva	YRI
ERX179577	ERX179577	University of Geneva	YRI
ERX162787	ERX162787	Institute of Clinical Molecular Biology, University of Kiel, Germany	FIN
ERX162852	ERX162852	Leiden University Medical Center	GBR
ERX162834	ERX162834	University of Geneva	GBR
ERX162972	ERX162972	University of Geneva	TSI
ERX163067	ERX163067	Centre for Genomic Regulation, Barcelona	GBR
ERX163046	ERX163046	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	YRI
ERX162753	ERX162753	Max Planck Institute for Molecular Genetics	GBR
ERX162898	ERX162898	Leiden University Medical Center	TSI
ERX162722	ERX162722	Max Planck Institute for Molecular Genetics	GBR
ERX162730	ERX162730	Institute of Clinical Molecular Biology, University of Kiel, Germany	CEU
ERX162789	ERX162789	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	TSI
ERX162853	ERX162853	University of Geneva	CEU
ERX162776	ERX162776	Institute of Clinical Molecular Biology, University of Kiel, Germany	TSI
ERX162888	ERX162888	Leiden University Medical Center	FIN
ERX163133	ERX163133	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	GBR
ERX162774	ERX162774	Max Planck Institute for Molecular Genetics	GBR
ERX162922	ERX162922	Uppsala University	YRI
ERX162857	ERX162857	University of Geneva	TSI
ERX162956	ERX162956	University of Geneva	YRI
ERX162744	ERX162744	Institute of Clinical Molecular Biology, University of Kiel, Germany	GBR
ERX163153	ERX163153	University of Geneva	CEU
ERX163095	ERX163095	University of Geneva	TSI
ERX162933	ERX162933	University of Geneva	YRI
ERX162729	ERX162729	Centre for Genomic Regulation, Barcelona	TSI
ERX163098	ERX163098	Max Planck Institute for Molecular Genetics	CEU
ERX162795	ERX162795	University of Geneva	YRI
ERX162918	ERX162918	Institute of Clinical Molecular Biology, University of Kiel, Germany	FIN
ERX163061	ERX163061	Leiden University Medical Center	TSI
ERX162999	ERX162999	Max Planck Institute for Molecular Genetics	FIN
ERX162979	ERX162979	Centre for Genomic Regulation, Barcelona	YRI
ERX162955	ERX162955	Centre for Genomic Regulation, Barcelona	CEU
ERX162794	ERX162794	Centre for Genomic Regulation, Barcelona	TSI
ERX162973	ERX162973	Leiden University Medical Center	YRI
ERX163107	ERX163107	Institute of Clinical Molecular Biology, University of Kiel, Germany	TSI
ERX163087	ERX163087	Leiden University Medical Center	GBR
ERX162719	ERX162719	Centre for Genomic Regulation, Barcelona	FIN
ERX163150	ERX163150	University of Geneva	GBR
ERX162947	ERX162947	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	TSI
ERX162858	ERX162858	University of Geneva	YRI
ERX162879	ERX162879	Institute of Clinical Molecular Biology, University of Kiel, Germany	FIN
ERX163117	ERX163117	University of Geneva	FIN
ERX163142	ERX163142	Leiden University Medical Center	CEU
ERX162720	ERX162720	Centre for Genomic Regulation, Barcelona	YRI
ERX163023	ERX163023	Uppsala University	YRI
ERX163147	ERX163147	Institute of Clinical Molecular Biology, University of Kiel, Germany	FIN
ERX163086	ERX163086	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	CEU
ERX162734	ERX162734	Centre for Genomic Regulation, Barcelona	GBR
ERX162764	ERX162764	Uppsala University	CEU
ERX162817	ERX162817	Max Planck Institute for Molecular Genetics	FIN
ERX163026	ERX163026	Uppsala University	TSI
ERX162728	ERX162728	University of Geneva	CEU
ERX162836	ERX162836	Max Planck Institute for Molecular Genetics	TSI
ERX162944	ERX162944	Max Planck Institute for Molecular Genetics	YRI
ERX162827	ERX162827	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	GBR
ERX162887	ERX162887	Centre for Genomic Regulation, Barcelona	GBR
ERX162727	ERX162727	Centre for Genomic Regulation, Barcelona	CEU
ERX163035	ERX163035	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	YRI
ERX162895	ERX162895	Centre for Genomic Regulation, Barcelona	GBR
ERX162875	ERX162875	Uppsala University	FIN
ERX163060	ERX163060	University of Geneva	CEU
ERX162829	ERX162829	University of Geneva	GBR
ERX162934	ERX162934	University of Geneva	TSI
ERX162925	ERX162925	Centre for Genomic Regulation, Barcelona	FIN
ERX162849	ERX162849	University of Geneva	CEU
ERX163019	ERX163019	Institute of Clinical Molecular Biology, University of Kiel, Germany	FIN
ERX162788	ERX162788	Leiden University Medical Center	TSI
ERX163073	ERX163073	Institute of Clinical Molecular Biology, University of Kiel, Germany	GBR
ERX163030	ERX163030	University of Geneva	TSI
ERX162757	ERX162757	University of Geneva	YRI
ERX163125	ERX163125	Centre for Genomic Regulation, Barcelona	FIN
ERX162992	ERX162992	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	FIN
ERX162745	ERX162745	Max Planck Institute for Molecular Genetics	CEU
ERX163018	ERX163018	Max Planck Institute for Molecular Genetics	GBR
ERX162773	ERX162773	Institute of Clinical Molecular Biology, University of Kiel, Germany	TSI
ERX162777	ERX162777	Centre for Genomic Regulation, Barcelona	FIN
ERX162823	ERX162823	Max Planck Institute for Molecular Genetics	TSI
ERX163149	ERX163149	University of Geneva	GBR
ERX163164	ERX163164	Leiden University Medical Center	CEU
ERX163047	ERX163047	University of Geneva	FIN
ERX163134	ERX163134	University of Geneva	GBR
ERX162864	ERX162864	Centre for Genomic Regulation, Barcelona	YRI
ERX163032	ERX163032	Uppsala University	GBR
ERX163031	ERX163031	University of Geneva	CEU
ERX163090	ERX163090	Leiden University Medical Center	CEU
ERX162905	ERX162905	Leiden University Medical Center	FIN
ERX163041	ERX163041	Leiden University Medical Center	CEU
ERX162804	ERX162804	Institute of Clinical Molecular Biology, University of Kiel, Germany	YRI
ERX162924	ERX162924	University of Geneva	YRI
ERX162960	ERX162960	Institute of Clinical Molecular Biology, University of Kiel, Germany	FIN
ERX162733	ERX162733	Centre for Genomic Regulation, Barcelona	FIN
ERX162939	ERX162939	Max Planck Institute for Molecular Genetics	TSI
ERX162801	ERX162801	University of Geneva	FIN
ERX163055	ERX163055	Centre for Genomic Regulation, Barcelona	YRI
ERX162840	ERX162840	Uppsala University	GBR
ERX162970	ERX162970	Max Planck Institute for Molecular Genetics	GBR
ERX162989	ERX162989	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	TSI
ERX163169	ERX163169	University of Geneva	YRI
ERX163062	ERX163062	University of Geneva	TSI
ERX179608	ERX179608	University of Geneva	CEU
ERX179550	ERX179550	Uppsala University	YRI
ERX179561	ERX179561	University of Geneva	TSI
ERX179629	ERX179629	University of Geneva	CEU
ERX179625	ERX179625	University of Geneva	FIN
ERX179514	ERX179514	University of Geneva	GBR
ERX179578	ERX179578	University of Geneva	TSI
ERX179594	ERX179594	University of Geneva	FIN
ERX179528	ERX179528	University of Geneva	CEU
ERX179523	ERX179523	University of Geneva	YRI
ERX179552	ERX179552	University of Geneva	CEU
ERX179558	ERX179558	University of Geneva	CEU
ERX179563	ERX179563	University of Geneva	YRI
ERX179585	ERX179585	University of Geneva	YRI
ERX179548	ERX179548	University of Geneva	CEU
ERX179526	ERX179526	University of Geneva	CEU
ERX179631	ERX179631	University of Geneva	GBR
ERX179579	ERX179579	University of Geneva	CEU
ERX179699	ERX179699	University of Geneva	YRI
ERX179566	ERX179566	University of Geneva	FIN
ERX179658	ERX179658	University of Geneva	TSI
ERX179706	ERX179706	University of Geneva	YRI
ERX179542	ERX179542	Institute of Clinical Molecular Biology, University of Kiel, Germany	GBR
ERX179520	ERX179520	University of Geneva	YRI
ERX179700	ERX179700	University of Geneva	CEU
ERX179624	ERX179624	University of Geneva	GBR
ERX179529	ERX179529	University of Geneva	FIN
ERX179656	ERX179656	University of Geneva	YRI
ERX179547	ERX179547	University of Geneva	CEU
ERX179659	ERX179659	University of Geneva	YRI
ERX179653	ERX179653	University of Geneva	YRI
ERX179569	ERX179569	University of Geneva	TSI
ERX179708	ERX179708	University of Geneva	CEU
ERX179551	ERX179551	University of Geneva	CEU
ERX179690	ERX179690	University of Geneva	YRI
ERX179557	ERX179557	University of Geneva	FIN
ERX179637	ERX179637	University of Geneva	CEU
ERX179607	ERX179607	University of Geneva	FIN
ERX179540	ERX179540	University of Geneva	TSI
ERX179670	ERX179670	University of Geneva	CEU
ERX179647	ERX179647	University of Geneva	GBR
ERX179545	ERX179545	University of Geneva	CEU
ERX179663	ERX179663	University of Geneva	GBR
ERX179541	ERX179541	University of Geneva	YRI
ERX179570	ERX179570	University of Geneva	YRI
ERX179596	ERX179596	University of Geneva	CEU
ERX179703	ERX179703	University of Geneva	CEU
ERX179590	ERX179590	University of Geneva	CEU
ERX179553	ERX179553	University of Geneva	YRI
ERX179679	ERX179679	University of Geneva	CEU
ERX179598	ERX179598	University of Geneva	YRI
ERX179508	ERX179508	University of Geneva	CEU
ERX162914	ERX162914	Centre for Genomic Regulation, Barcelona	GBR
ERX163128	ERX163128	Max Planck Institute for Molecular Genetics	FIN
ERX163120	ERX163120	University of Geneva	YRI
ERX162890	ERX162890	Max Planck Institute for Molecular Genetics	FIN
ERX162822	ERX162822	Max Planck Institute for Molecular Genetics	CEU
ERX162882	ERX162882	Uppsala University	GBR
ERX162873	ERX162873	University of Geneva	YRI
ERX163069	ERX163069	Leiden University Medical Center	GBR
ERX162907	ERX162907	Institute of Clinical Molecular Biology, University of Kiel, Germany	CEU
ERX162737	ERX162737	Centre for Genomic Regulation, Barcelona	CEU
ERX163166	ERX163166	Centre for Genomic Regulation, Barcelona	YRI
ERX162766	ERX162766	Centre for Genomic Regulation, Barcelona	CEU
ERX163139	ERX163139	Max Planck Institute for Molecular Genetics	TSI
ERX162738	ERX162738	Institute of Clinical Molecular Biology, University of Kiel, Germany	CEU
ERX163054	ERX163054	Centre for Genomic Regulation, Barcelona	CEU
ERX163130	ERX163130	Uppsala University	YRI
ERX162909	ERX162909	Leiden University Medical Center	GBR
ERX162721	ERX162721	Uppsala University	YRI
ERX162940	ERX162940	University of Geneva	TSI
ERX162824	ERX162824	Centre for Genomic Regulation, Barcelona	YRI
ERX162901	ERX162901	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	GBR
ERX163011	ERX163011	Centre for Genomic Regulation, Barcelona	GBR
ERX163152	ERX163152	Centre for Genomic Regulation, Barcelona	TSI
ERX163065	ERX163065	Centre for Genomic Regulation, Barcelona	CEU
ERX162785	ERX162785	Institute of Clinical Molecular Biology, University of Kiel, Germany	GBR
ERX162724	ERX162724	Max Planck Institute for Molecular Genetics	YRI
ERX162746	ERX162746	Centre for Genomic Regulation, Barcelona	GBR
ERX163141	ERX163141	Centre for Genomic Regulation, Barcelona	CEU
ERX162941	ERX162941	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	GBR
ERX162768	ERX162768	Leiden University Medical Center	CEU
ERX162900	ERX162900	Centre for Genomic Regulation, Barcelona	YRI
ERX162812	ERX162812	Institute of Clinical Molecular Biology, University of Kiel, Germany	TSI
ERX162842	ERX162842	Leiden University Medical Center	YRI
ERX162977	ERX162977	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	TSI
ERX162740	ERX162740	Centre for Genomic Regulation, Barcelona	FIN
ERX162811	ERX162811	Leiden University Medical Center	TSI
ERX162844	ERX162844	Centre for Genomic Regulation, Barcelona	YRI
ERX162860	ERX162860	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	CEU
ERX162726	ERX162726	Centre for Genomic Regulation, Barcelona	CEU
ERX162810	ERX162810	University of Geneva	FIN
ERX163079	ERX163079	Institute of Clinical Molecular Biology, University of Kiel, Germany	YRI
ERX163052	ERX163052	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	FIN
ERX163021	ERX163021	University of Geneva	GBR
ERX162886	ERX162886	Leiden University Medical Center	YRI
ERX162938	ERX162938	Centre for Genomic Regulation, Barcelona	FIN
ERX162735	ERX162735	Centre for Genomic Regulation, Barcelona	YRI
ERX162838	ERX162838	Max Planck Institute for Molecular Genetics	YRI
ERX162779	ERX162779	Centre for Genomic Regulation, Barcelona	GBR
ERX163076	ERX163076	University of Geneva	FIN
ERX162946	ERX162946	Leiden University Medical Center	GBR
ERX163113	ERX163113	Max Planck Institute for Molecular Genetics	TSI
ERX162919	ERX162919	University of Geneva	FIN
ERX162717	ERX162717	Leiden University Medical Center	GBR
ERX162932	ERX162932	Institute of Clinical Molecular Biology, University of Kiel, Germany	TSI
ERX162846	ERX162846	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	FIN
ERX163024	ERX163024	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	YRI
ERX162884	ERX162884	Max Planck Institute for Molecular Genetics	YRI
ERX162819	ERX162819	Centre for Genomic Regulation, Barcelona	TSI
ERX163135	ERX163135	University of Geneva	YRI
ERX163083	ERX163083	Max Planck Institute for Molecular Genetics	FIN
ERX162772	ERX162772	Institute of Clinical Molecular Biology, University of Kiel, Germany	GBR
