LibraryName	cell_cycle_stage	cell
G1_cell60	G1_cell60	G1	cell60
G1_cell17	G1_cell17	G1	cell17
G2M_cell49	G2M_cell49	G2M	cell49
S_cell82	S_cell82	S	cell82
S_cell77	S_cell77	S	cell77
S_cell67	S_cell67	S	cell67
S_cell33	S_cell33	S	cell33
G1_cell81	G1_cell81	G1	cell81
S_cell19	S_cell19	S	cell19
S_cell17	S_cell17	S	cell17
S_cell2	S_cell2	S	cell2
S_cell45	S_cell45	S	cell45
G1_cell4	G1_cell4	G1	cell4
G1_cell25	G1_cell25	G1	cell25
G2M_cell45	G2M_cell45	G2M	cell45
G2M_cell72	G2M_cell72	G2M	cell72
S_cell38	S_cell38	S	cell38
S_cell62	S_cell62	S	cell62
S_cell71	S_cell71	S	cell71
G1_cell64	G1_cell64	G1	cell64
G1_cell3	G1_cell3	G1	cell3
G2M_cell10	G2M_cell10	G2M	cell10
G1_cell84	G1_cell84	G1	cell84
G2M_cell71	G2M_cell71	G2M	cell71
G1_cell46	G1_cell46	G1	cell46
G1_cell11	G1_cell11	G1	cell11
G2M_cell38	G2M_cell38	G2M	cell38
G1_cell54	G1_cell54	G1	cell54
S_cell21	S_cell21	S	cell21
G2M_cell6	G2M_cell6	G2M	cell6
S_cell10	S_cell10	S	cell10
G2M_cell32	G2M_cell32	G2M	cell32
G1_cell91	G1_cell91	G1	cell91
S_cell29	S_cell29	S	cell29
S_cell24	S_cell24	S	cell24
G2M_cell13	G2M_cell13	G2M	cell13
G2M_cell7	G2M_cell7	G2M	cell7
G2M_cell67	G2M_cell67	G2M	cell67
S_cell51	S_cell51	S	cell51
G1_cell12	G1_cell12	G1	cell12
G2M_cell48	G2M_cell48	G2M	cell48
S_cell18	S_cell18	S	cell18
G2M_cell11	G2M_cell11	G2M	cell11
G2M_cell46	G2M_cell46	G2M	cell46
G2M_cell34	G2M_cell34	G2M	cell34
S_cell88	S_cell88	S	cell88
G1_cell19	G1_cell19	G1	cell19
G2M_cell82	G2M_cell82	G2M	cell82
G1_cell16	G1_cell16	G1	cell16
G1_cell8	G1_cell8	G1	cell8
S_cell42	S_cell42	S	cell42
G2M_cell42	G2M_cell42	G2M	cell42
S_cell12	S_cell12	S	cell12
G1_cell18	G1_cell18	G1	cell18
